lbp58,hog435,hog556,hog111,hog25,hog369,hog16,hog210,hog363,hog138,hog394,hog120,hog361,hog151,hog421,hog387,hog95,hog225,hog309,hog237,hog547,hog117,hog336,hog374,hog243,hog235,hog565,hog278,hog34,hog430,hog43,hog129,hog61,hog520,hog94,hog90,hog329,lbp5,hog217,hog102,lbp3,hog17,hog221,hog509,hog379,hog84,hog209,hog160,hog367,hog7,Clase
0.4521069,0.0866262,0.08897241,0.0497879,0.08386746,0.186494,0.05062114,0.1438269,0.1237128,0.09607329,0.1464927,0.058472,0.1767641,0.1545998,0.1515375,0.1957713,0.1075301,0.1629585,0.1560003,0.1454637,0.09181924,0.4323385,0.1215345,0.1571615,0.1817378,0.1725953,0.06624973,0.150512,0.07531007,0.1500278,0.05866621,0.08427919,0.0757935,0.09837425,0.07604807,0.4415478,0.156338,0.007478323,0.1645578,0.08114787,0.007802609,0.07627125,0.1854013,0.1140989,0.1991435,0.05563408,0.1358872,0.1465112,0.1789793,0.07679145,Circuito integrado
0.3856033,0.1356747,0.1222354,0.04639722,0.08020023,0.2150431,0.07603889,0.1813377,0.1659169,0.07010924,0.1527404,0.05367728,0.1740257,0.08424854,0.1342173,0.1419188,0.1947839,0.2178994,0.1201978,0.1428465,0.1274604,0.3446001,0.1915605,0.2215654,0.2178994,0.2178994,0.08010357,0.1181439,0.0808511,0.1089785,0.05242704,0.06747001,0.0764238,0.2085112,0.182463,0.3085309,0.2097239,0.003858144,0.2178994,0.06339955,0.002768525,0.09542476,0.2178994,0.232142,0.1200178,0.03147553,0.2148824,0.08476331,0.2215654,0.08644997,Circuito integrado
0.5142308,0.05520121,0.2477709,0.04678417,0.04465806,0.02731054,0.1025874,0.04438758,0.03729022,0.2665853,0.1632183,0.2665853,0.02875393,0.06591911,0.1103112,0.04341462,0.09547024,0.03185531,0.0649748,0.04496677,0.1560208,0.1774683,0.03825184,0.4329068,0.02460918,0.03228275,0.111801,0.01537855,0.07209857,0.3118378,0.1892957,0.2438662,0.1372819,0.1966819,0.08525358,0.2727188,0.2728417,0.0007418616,0.03274329,0.15934,0.0007538624,0.1170647,0.1253454,0.08177366,0.03940264,0.07114694,0.0315679,0.06841611,0.03315696,0.09055363,Circuito integrado
0.3777092,0.09462585,0.1273625,0.06917939,0.09665146,0.09863078,0.07447226,0.1019363,0.1600865,0.1183317,0.1747355,0.1157722,0.09773578,0.097992,0.06748351,0.1165593,0.1151178,0.1431654,0.09521646,0.1534011,0.07134435,0.1811467,0.1091075,0.2142083,0.1050371,0.09158383,0.07474025,0.09609818,0.07332186,0.1216421,0.1918723,0.06340446,0.1901115,0.1850831,0.1158216,0.2229107,0.2446691,0.001457562,0.09093712,0.1586432,0.001178797,0.1138882,0.1322653,0.1131826,0.112205,0.1913131,0.08346074,0.07196868,0.1305596,0.0751552,Circuito integrado
0.418663,0.170913,0.09404331,0.1890812,0.1262821,0.1448823,0.1621254,0.2047944,0.2067708,0.1001142,0.1338558,0.2068528,0.1678832,0.1703406,0.1115302,0.176615,0.1203127,0.1196742,0.2226555,0.2090487,0.06559598,0.2199541,0.1889323,0.1994159,0.1419051,0.1708418,0.07785407,0.1168673,0.08358253,0.1516221,0.2160532,0.09126696,0.1126354,0.07796385,0.1385749,0.2283723,0.2029196,0.00724757,0.1482415,0.1374834,0.006960711,0.2023405,0.1610345,0.09816268,0.1605467,0.2283723,0.1945091,0.1163774,0.1173584,0.1960632,Circuito integrado
0.4197951,0.219207,0.2073011,0.090995,0.1354216,0.1754432,0.1544417,0.1207141,0.1126255,0.08198703,0.2040893,0.1157031,0.1249254,0.1303115,0.1136332,0.1441794,0.04209672,0.1608092,0.2414479,0.1144411,0.09508339,0.2977439,0.118122,0.1807095,0.1802643,0.1263304,0.1213311,0.08081652,0.05576354,0.2317254,0.2086409,0.05703628,0.06167688,0.1251106,0.05079532,0.3094361,0.1926337,0.002690455,0.1529555,0.06905334,0.002171443,0.1880916,0.1371365,0.08726322,0.1506189,0.1267562,0.1456751,0.04923265,0.1946451,0.1674964,Circuito integrado
0.3962332,0.08936585,0.07682585,0.08374999,0.08538329,0.1995913,0.09313335,0.2148329,0.2147711,0.09920142,0.1152171,0.1151633,0.2067769,0.07444365,0.1303438,0.2147711,0.2685695,0.2250891,0.0722236,0.2250891,0.1133074,0.1637664,0.2146977,0.1668974,0.2250891,0.2250891,0.0584608,0.1014715,0.1690028,0.06164858,0.08433881,0.07743801,0.2282066,0.1628322,0.2685695,0.09809618,0.2146977,0.003088033,0.2250891,0.1208856,0.005067208,0.1171815,0.1493419,0.1536471,0.2147711,0.09257893,0.2148329,0.142496,0.2147711,0.1194251,Circuito integrado
0.3775804,0.1189252,0.08078809,0.09392124,0.1094406,0.1665791,0.0943562,0.2151945,0.2118744,0.1273813,0.1412,0.1217134,0.2118744,0.1047808,0.170832,0.2094526,0.2714227,0.2229845,0.09350353,0.2229845,0.158623,0.1500559,0.2128398,0.1458798,0.2229845,0.2229845,0.06640968,0.1389611,0.1690279,0.06512667,0.08071018,0.09289766,0.2394671,0.2015658,0.2714227,0.09421702,0.2128398,0.005482101,0.2229845,0.1352849,0.003463453,0.1220101,0.1422376,0.2168198,0.2118744,0.08583595,0.2067607,0.1487226,0.2118744,0.1216817,Circuito integrado
0.2729038,0.0685849,0.1010441,0.1175647,0.07264743,0.2137458,0.1271543,0.1869315,0.2001129,0.05374167,0.1316765,0.07452917,0.2091119,0.06918779,0.1331995,0.2137458,0.1301013,0.2069474,0.0702043,0.1783427,0.1466103,0.2407605,0.2106244,0.1875792,0.2069474,0.1588319,0.1307102,0.1666127,0.197297,0.09279656,0.1098914,0.08507416,0.1763288,0.1789815,0.1211968,0.2312051,0.1733305,0.00268699,0.2069474,0.09513395,0.0047521,0.1356604,0.1455531,0.05669053,0.1815114,0.1412476,0.1490909,0.16966,0.1589495,0.05243486,Circuito integrado
0.397349,0.07744575,0.08394102,0.1277107,0.1281888,0.1207647,0.1726522,0.1680414,0.212061,0.03885692,0.1262608,0.1088305,0.1348895,0.1353049,0.201779,0.131163,0.1867235,0.2015904,0.07587977,0.1752306,0.1720715,0.2335548,0.1963719,0.2404838,0.1405546,0.1410595,0.1238717,0.1384194,0.1837608,0.1125109,0.1448862,0.2335548,0.1630379,0.1733436,0.2335884,0.1776332,0.2361541,0.005330415,0.1918091,0.2335884,0.002503461,0.1574897,0.2149873,0.2221407,0.1406986,0.1073275,0.1024951,0.169281,0.2118964,0.1654453,Circuito integrado
0.2651287,0.1154287,0.1162456,0.1128514,0.09942804,0.2417415,0.1250159,0.07773564,0.107887,0.04826302,0.09814443,0.07182892,0.2417415,0.1193078,0.1026403,0.2417415,0.04511046,0.280752,0.104094,0.08210185,0.08491778,0.2775222,0.1105883,0.1169669,0.280752,0.280752,0.1036843,0.172296,0.07624119,0.1478859,0.1266031,0.05616195,0.075463,0.09135773,0.05487771,0.273256,0.1362329,0.01089963,0.280752,0.04945632,0.003698921,0.2223333,0.0438593,0.03837264,0.2417415,0.1169372,0.1631038,0.08948488,0.1189625,0.08116551,Circuito integrado
