lbp58,hog25,hog210,hog435,hog387,hog111,hog556,hog363,hog16,hog394,hog369,hog138,hog225,hog95,hog120,hog237,hog361,hog509,hog379,hog151,hog217,hog374,hog513,hog520,hog336,hog221,hog421,hog367,hog547,hog34,hog360,hog117,hog198,hog94,lbp5,hog235,hog565,hog61,hog309,hog222,hog90,hog508,hog510,hog340,hog43,hog483,hog278,hog220,hog96,hog358,Clase
0.3623783,0.3261181,0.1335771,0.1422216,0.08828443,0.1346742,0.2204886,0.242112,0.3261181,0.09177712,0.06386571,0.2706105,0.1116063,0.04122826,0.2706105,0.2302888,0.08069663,0.05834096,0.09156217,0.2745977,0.2456454,0.09005071,0.07362948,0.05762959,0.1168293,0.05543883,0.07689081,0.2861676,0.07425253,0.3261181,0.1039946,0.07556991,0.1977072,0.04020815,0.005738885,0.1117728,0.195802,0.290466,0.1955008,0.2456454,0.1080349,0.06027817,0.1496254,0.2943401,0.3260144,0.2134454,0.06560399,0.04686303,0.1389441,0.2943401,Capacitor electrolitico
0.3377627,0.3389731,0.1165939,0.1911435,0.07058617,0.177187,0.2883407,0.2602011,0.3389731,0.03394078,0.06203537,0.1908523,0.2063855,0.1530793,0.2348039,0.2457726,0.1134878,0.1440857,0.1779879,0.2983938,0.2501572,0.1067187,0.09813815,0.04162787,0.1168947,0.1194446,0.03303103,0.2220884,0.07567136,0.3389731,0.06578561,0.09056862,0.2441425,0.08035014,0.002376738,0.1709141,0.2274029,0.2487746,0.1848782,0.2501572,0.09438015,0.1144138,0.154398,0.2101812,0.2487746,0.2175621,0.05816085,0.06423467,0.2584036,0.1404504,Capacitor electrolitico
0.3392938,0.1431974,0.05193092,0.2255287,0.08994066,0.2504075,0.2817382,0.1186055,0.2762547,0.2802504,0.07681604,0.2504075,0.06521676,0.05541161,0.2504075,0.049756,0.1067322,0.0481948,0.1726977,0.1409102,0.06616017,0.07851344,0.1930637,0.2553726,0.09793964,0.08910261,0.2750274,0.2865258,0.2817382,0.2762547,0.08081618,0.09567725,0.0798091,0.04704178,0.005665988,0.06879261,0.2817382,0.3014805,0.1631099,0.313345,0.1507899,0.08408205,0.03412562,0.2762851,0.3014805,0.03546623,0.0597424,0.06297159,0.2370658,0.09861772,Capacitor electrolitico
0.3159999,0.1034933,0.08422609,0.2852423,0.08324112,0.2394266,0.2516464,0.05693591,0.07580012,0.172261,0.08339615,0.2394266,0.2778408,0.01779361,0.2394266,0.03872666,0.241099,0.05221568,0.2705437,0.1209498,0.2778408,0.07999118,0.1149084,0.09943967,0.08030528,0.01921622,0.1150778,0.2705437,0.1051517,0.06347588,0.09125409,0.09095953,0.2547106,0.06013919,0.008093558,0.273687,0.1189719,0.07073996,0.2116893,0.03472633,0.14661,0.04995447,0.2802579,0.1416611,0.06172431,0.2629048,0.1745712,0.01119785,0.02386786,0.2592848,Capacitor electrolitico
0.3290016,0.3972478,0.2604829,0.2377537,0.06054172,0.1335206,0.1003119,0.2561953,0.1859064,0.2561953,0.108481,0.1649103,0.05583105,0.1199802,0.2531168,0.2840113,0.09883878,0.1865373,0.05439566,0.2521024,0.07922747,0.1619491,0.07380509,0.26676,0.2237438,0.1111241,0.1066352,0.1134238,0.09353419,0.1175777,0.0543752,0.2240467,0.04878165,0.1892352,0.006827593,0.09086334,0.1330043,0.1637828,0.2360999,0.1504854,0.2525724,0.2349285,0.26676,0.06946635,0.1394222,0.2370067,0.1014494,0.1176518,0.1672741,0.2299577,Capacitor electrolitico
0.3330657,0.3125598,0.1560253,0.2616458,0.1773275,0.200327,0.2200581,0.1487156,0.3125598,0.08404822,0.2857995,0.2517171,0.0490896,0.2685944,0.1786968,0.1441734,0.2857995,0.2728921,0.1404028,0.2586442,0.049769,0.05987976,0.1059178,0.1231554,0.1463705,0.2977259,0.1111542,0.08743539,0.1193252,0.2277631,0.2138187,0.0997564,0.04573853,0.2685944,0.005173884,0.2863099,0.2131713,0.1522289,0.2397045,0.1324385,0.08736676,0.2728921,0.1195874,0.09020965,0.1997505,0.1079362,0.2665192,0.2977259,0.1334338,0.08029782,Capacitor electrolitico
0.3443356,0.2504214,0.09114762,0.2397222,0.1330123,0.3021899,0.3204646,0.08552242,0.3172067,0.2716449,0.08737902,0.2756094,0.1909955,0.1789795,0.3021899,0.09691279,0.09314451,0.1114483,0.1524046,0.2276253,0.1762383,0.2716449,0.2419996,0.2569986,0.09834925,0.1759212,0.2815024,0.0810072,0.3204646,0.3172067,0.1596809,0.03800971,0.2138287,0.1913103,0.008275934,0.08383691,0.2023604,0.2711995,0.2353642,0.1515168,0.08265041,0.2569986,0.1239176,0.04356276,0.2711995,0.08409148,0.07100026,0.2100265,0.1766611,0.1234016,Capacitor electrolitico
0.3555641,0.3002383,0.2651567,0.2138141,0.05739104,0.1609395,0.2732338,0.2760384,0.3002383,0.06093627,0.06419126,0.2382825,0.223549,0.03551523,0.2382825,0.2752696,0.04901272,0.04344134,0.06447419,0.2351518,0.2120761,0.04449327,0.09589886,0.130614,0.2871067,0.03631384,0.1862722,0.2760384,0.2732338,0.2452076,0.07439543,0.08916326,0.2651567,0.0435432,0.004163812,0.05309571,0.2732338,0.2570749,0.2233256,0.03836909,0.1574575,0.06117457,0.05484932,0.2871067,0.2570749,0.05726358,0.2627592,0.04086633,0.03465918,0.2871067,Capacitor electrolitico
0.3439249,0.2847457,0.1755734,0.1473683,0.1604805,0.1058923,0.2519911,0.211121,0.1538209,0.1855134,0.1579041,0.1509686,0.09391623,0.05542948,0.1533371,0.2368672,0.1357311,0.1725787,0.1253421,0.2872519,0.1202928,0.2279906,0.1583939,0.2093177,0.1430256,0.06924257,0.2444782,0.2279906,0.2519911,0.2247746,0.1173881,0.1109676,0.09629454,0.04038446,0.001463369,0.16865,0.2005688,0.2284594,0.1308429,0.2261776,0.2016032,0.2093177,0.1829755,0.2116367,0.2549414,0.1204057,0.09585313,0.05147154,0.1507087,0.1813494,Capacitor electrolitico
0.2623123,0.3060867,0.1239838,0.2310299,0.07762172,0.05484171,0.1139135,0.1486215,0.1474609,0.2415023,0.1473347,0.1636366,0.101449,0.06703477,0.1101585,0.1317718,0.2415023,0.2228715,0.176515,0.1811645,0.05654759,0.1685247,0.1010541,0.2494483,0.1070013,0.08656766,0.2380028,0.1364823,0.2717164,0.117026,0.08074232,0.2771184,0.06063886,0.2031654,0.008962085,0.2452656,0.13562,0.1129966,0.2349447,0.2452656,0.2577741,0.1905429,0.1557821,0.1441141,0.1021283,0.1180085,0.09128436,0.1988616,0.2000265,0.0950814,Capacitor electrolitico
